"Frederick Pitt 'Fred' Alderman","USA","M"
"Joan 'Jody' Alderson ","USA","F"
"David Alegre Biosca","ESP","M"
"Ramn Alegre Biosca","ESP","M"
"Jo Qesem Ayela Aleh","NZL","F"
"Virgilijus Alekna","LTU","M"
"Boris Viktorovich Aleksandrov","URS","M"
"Rumen Aleksandrov","BUL","M"
"Veniamin Veniaminovich Aleksandrov","URS","M"
"Vladimir Petrovich Aleksandrov","URS","M"
"Larisa Aleksandrova-Popova","URS","F"
"Artur Aleksanyan","ARM","M"
"Vasily Ivanovich Alekseyev","URS","M"
"Galina Aleksandrovna Alekseyeva","URS","F"
"Milan Aleksi","SRB","M"
"Alessandra dos Santos de Oliveira","BRA","F"
"Hugh Vincenzo Alessandroni","USA","M"
"Karl Theophil Christian Aletter","GER","M"
"Alex Sandro Lobo Silva","BRA","M"
"Gustav Bernhard Franck Alexander","GBR","M"
"Lisa Alexander","CAN","F"
"Michael O'Donel Bjarne Alexander","GBR","M"
"Buffy-Lynne Alexander-Williams","CAN","F"
"Marc Robert Alexandre","FRA","M"
"Alexandre 'Alexandre Pato' Rodrigues da Silva","BRA","M"
"Constantin Alexandru","ROU","M"
"Ion Alexe","ROU","M"
"Vladimir Petrovich Aleynik","URS","M"
"Yevgeny Vasilyevich Aleynikov","RUS","M"
"Abdoul Razak Issoufou Alfaga","NIG","M"
"Lidiya Nikolayevna Alfeyeva","URS","F"
"Alfonso Prez Muoz","ESP","M"
"Stephen Todd 'Steve' Alford","USA","M"
"Axel Alfredsson","SWE","M"
"Hans Daniel Alfredsson","SWE","M"
"Max Ferdinand Alfthan","FIN","M"
"Zenny 'Algodo' de Azevedo","BRA","M"
"Ulf Hkan Gran Algotsson","SWE","M"
"Sara Anneli Algotsson Ostholt","SWE","F"
"Nasir Ali","PAK","M"
"Nia Sifaatihii Ali","USA","F"
"Shaukat Ali","IND","M"
"Syed Mushtaq Ali","IND","M"
"mile Ali Khan","FRA","M"
"Rahim Aliabadi","IRI","M"
"Gaston Jules Louis Antoine Alibert","FRA","M"
"Sergey Gennadyevich Alifirenko","RUS","M"
"Vladimir Aleksandrovich Alikin","URS","M"
"Mirko Alilovi","CRO","M"
"Aline Pellegrino","BRA","F"
"Aleksey Aleksandrovich Alipov","RUS","M"
"Georgios Aliprantis","GRE","M"
"Alison Conte Cerutti","BRA","M"
"Deji Aliu","NGR","M"
"Margarita Sergeyevna Aliychuk","RUS","F"
"Kimia Alizadeh Zenoorin","IRI","F"
"Alphonse Allaert","BEL","M"
"Yuliya Yakunovna Allagulova","EUN","F"
"mile Allais","FRA","M"
"Mohamed Allalou","ALG","M"
