"Tug-Of-War","Tug-Of-War Men's Tug-Of-War"
"Swimming","Swimming Men's 100 metres Backstroke"
"Wrestling","Wrestling Men's Super-Heavyweight Greco-Roman"
"Sailing","Sailing Men's Two Person Dinghy"
"Tennis","Tennis Men's Doubles Covered Courts"
"Archery","Archery Men's Team"
"Rhythmic Gymnastics","Rhythmic Gymnastics Women's Individual"
"Judo","Judo Men's Half-Heavyweight"
"Art Competitions","Art Competitions Mixed Music"
"Cycling","Cycling Men's 100 kilometres"
"Synchronized Swimming","Synchronized Swimming Women's Duet"
"Taekwondo","Taekwondo Women's Heavyweight"
"Shooting","Shooting Mixed Small-Bore Rifle Three Positions 50 metres"
"Cycling","Cycling Men's 25 kilometres"
"Shooting","Shooting Women's Air Pistol 10 metres"
"Swimming","Swimming Men's 1500 metres Freestyle"
"Art Competitions","Art Competitions Mixed Painting Graphic Arts"
"Swimming","Swimming Men's 400 metres Individual Medley"
"Weightlifting","Weightlifting Women's Middleweight"
"Fencing","Fencing Women's Foil Individual"
"Art Competitions","Art Competitions Mixed Literature"
"Cross Country Skiing","Cross Country Skiing Women's 5/5 kilometres Pursuit"
"Cycling","Cycling Men's Team Sprint"
"Cycling","Cycling Men's Sprint"
"Swimming","Swimming Men's 200 metres Individual Medley"
"Athletics","Athletics Men's Standing Triple Jump"
"Swimming","Swimming Women's 200 metres Individual Medley"
"Biathlon","Biathlon Men's 12.5 kilometres Pursuit"
"Canoeing","Canoeing Men's Kayak Singles 200 metres"
"Speed Skating","Speed Skating Women's 5000 metres"
"Biathlon","Biathlon Women's 3 x 7.5 kilometres Relay"
"Athletics","Athletics Women's Heptathlon"
"Taekwondo","Taekwondo Men's Welterweight"
"Rowing","Rowing Women's Lightweight Double Sculls"
"Shooting","Shooting Mixed Running Target 50 metres"
"Cycling","Cycling Women's Points Race"
"Cross Country Skiing","Cross Country Skiing Women's 30 kilometres"
"Cross Country Skiing","Cross Country Skiing Women's 5/10 kilometres Pursuit"
"Cross Country Skiing","Cross Country Skiing Women's 15 kilometres"
"Swimming","Swimming Women's 200 metres Butterfly"
"Shooting","Shooting Men's Running Target Double Shot"
"Shooting","Shooting Men's Running Target Double Shot Team"
"Shooting","Shooting Men's Military Rifle 200/500/600/800/900/1000 Yards Team"
"Diving","Diving Women's Synchronized Platform"
"Sailing","Sailing Mixed 30 metres"
"Athletics","Athletics Women's 800 metres"
"Sailing","Sailing Mixed Two Person Dinghy"
"Athletics","Athletics Men's 4000 metres Steeplechase"
"Athletics","Athletics Men's 5000 metres Team"
"Judo","Judo Men's Heavyweight"
"Biathlon","Biathlon Mixed 2 x 6 kilometres and 2 x 7.5 kilometres Relay"
"Freestyle Skiing","Freestyle Skiing Men's Aerials"
"Judo","Judo Women's Extra-Lightweight"
"Rowing","Rowing Men's Coxed Pairs (1 mile)"
"Freestyle Skiing","Freestyle Skiing Women's Ski Cross"
"Equestrianism","Equestrianism Men's Jumping Individual"
"Swimming","Swimming Men's 200 metres Team Swimming"
"Sailing","Sailing Mixed 12 foot"
"Shooting","Shooting Women's Small-Bore Rifle Three Positions 50 metres"
"Art Competitions","Art Competitions Mixed Music Vocals"
"Athletics","Athletics Men's Pentathlon"
"Alpine Skiing","Alpine Skiing Women's Downhill"
"Athletics","Athletics Women's Pentathlon"
"Gymnastics","Gymnastics Women's Balance Beam"
"Sailing","Sailing Mixed 10-20 Ton"
"Cycling","Cycling Men's 1/4 mile"
"Cycling","Cycling Men's 1/3 mile"
"Cycling","Cycling Men's 1/2 mile"
"Cycling","Cycling Men's 1 mile"
"Shooting","Shooting Women's Air Rifle 10 metres"
"Art Competitions","Art Competitions Mixed Literature Lyric Works"
"Cross Country Skiing","Cross Country Skiing Women's Sprint"
"Cross Country Skiing","Cross Country Skiing Women's 15 km Skiathlon"
"Biathlon","Biathlon Men's 15 kilometres Mass Start"
"Athletics","Athletics Women's 200 metres"
"Canoeing","Canoeing Men's Folding Kayak Doubles 10 kilometres"
"Art Competitions","Art Competitions Mixed Painting Drawings And Water Colors"
"Snowboarding","Snowboarding Women's Parallel Giant Slalom"
"Sailing","Sailing Mixed 2-3 Ton"
"Weightlifting","Weightlifting Men's Heavyweight I"
"Athletics","Athletics Women's 80 metres Hurdles"
"Judo","Judo Women's Lightweight"
"Cycling","Cycling Women's Mountainbike Cross-Country"
"Swimming","Swimming Women's 300 metres Freestyle"
"Snowboarding","Snowboarding Women's Halfpipe"
"Art Competitions","Art Competitions Mixed Sculpturing Statues"
"Shooting","Shooting Men's Military Rifle Prone 600 metres Team"
"Shooting","Shooting Men's Free Rifle 1000 Yards"
"Cycling","Cycling Men's Individual Time Trial"
"Gymnastics","Gymnastics Men's Parallel Bars Teams"
"Gymnastics","Gymnastics Men's Horizontal Bar Teams"
"Athletics","Athletics Men's 1600 metres Medley Relay"
"Sailing","Sailing Mixed Windsurfer"
"Canoeing","Canoeing Men's Canadian Doubles 1000 metres"
"Shooting","Shooting Men's Small-Bore Rifle Disappearing Target 25 metres Team"
"Shooting","Shooting Men's Running Target Single Shot"
"Table Tennis","Table Tennis Men's Team"
"Equestrianism","Equestrianism Men's Dressage Individual"
"Athletics","Athletics Men's 1500 metres Walk"
"Athletics","Athletics Men's 3 mile Team"
"Luge","Luge Men's Singles"
"Judo","Judo Men's Open Class"
"Speed Skating","Speed Skating Men's 1000 metres"
"Cycling","Cycling Men's 1000 metres Time Trial"
"Canoeing","Canoeing Men's Canadian Doubles 10000 metres"
"Equestrianism","Equestrianism Men's Vaulting Individual"
"Equestrianism","Equestrianism Men's Vaulting Team"
"Diving","Diving Men's Synchronized Platform"
"Freestyle Skiing","Freestyle Skiing Men's Ski Cross"
"Freestyle Skiing","Freestyle Skiing Women's Halfpipe"
"Swimming","Swimming Men's 100 Yard Backstroke"
"Swimming","Swimming Men's 440 Yard Breaststroke"
"Shooting","Shooting Men's Military Pistol 30 metres"
"Gymnastics","Gymnastics Men's Individual All-Around 5 Events"
"Freestyle Skiing","Freestyle Skiing Women's Aerials"
"Cross Country Skiing","Cross Country Skiing Men's 18 kilometres"
"Art Competitions","Art Competitions Mixed Music Compositions For Orchestra"
"Nordic Combined","Nordic Combined Men's Individual"
"Archery","Archery Men's Double York Round"
"Art Competitions","Art Competitions Mixed Painting"
"Roque","Roque Men's Singles"
"Shooting","Shooting Men's Military Rifle Standing 300 metres Team"
"Triathlon","Triathlon Men's Olympic Distance"
"Alpinism","Alpinism Mixed Alpinism"
"Swimming","Swimming Men's 100 metres Breaststroke"
"Archery","Archery Men's Target Archery 33 metres Individual"
"Archery","Archery Men's Target Archery 50 metres Individual"
"Rowing","Rowing Men's Coxed Pairs (1 kilometres)"
"Cycling","Cycling Men's Points Race"
"Archery","Archery Men's Double American Round"
"Archery","Archery Men's Team Round"
"Shooting","Shooting Mixed Skeet"
"Alpine Skiing","Alpine Skiing Women's Slalom"
"Equestrianism","Equestrianism Men's Three-Day Event Individual"
"Canoeing","Canoeing Men's Canadian Singles 500 metres"
